RIAD_CODE;BIC;COUNTRY_OF_REGISTRATION;NAME;BOX;ADDRESS;POSTAL;CITY;CATEGORY;HEAD_COUNTRY_OF_REGISTRATION;HEAD_NAME;HEAD_RIAD_CODE;RESERVE;EXEMPT;RIAD_CODE2
BE0873296641;FVLBBE22;BE;Van Lanschot Kempen N.V;;Desguinlei, 50;2018;Antwerpen;Credit institution S122;NL;Van Lanschot Kempen N.V.;NL120;Y;N;BE0873296641
BE0403199702;GEBABEBB;BE;BNP Paribas Fortis;;Warandeberg, 3;1000;Bruxelles;Credit institution S122;;;;Y;N;BE0403199702
BE0872743345;GGGGBEGG;BE;BANQUE TRANSATLANTIQUE BELGIUM;;De Crayerstraat, 14;1000;Bruxelles;Credit institution S122;;;;Y;N;BE0872743345
BE0415466440;HABBBEB1;BE;HABIB BANK LIMITED;;Troonstraat, 14-16;1050;Ixelles;Credit institution S122;PK;Habib Bank Limited;PK0ECBM00046;Y;N;BE0415466440
BE0842123910;BIBLBE21;BE;BinckBank N.V.;101;Italiëlei, 124;2000;Antwerpen;Credit institution S122;NL;BinckBank N.V.;NL341;Y;N;BE0842123910
BE0830597835;ICBKBEBB;BE;Industrial and Commercial Bank of China (EUROPE) S.A.;;Louizalaan, 81;1050;Bruxelles;Credit institution S122;LU;Industrial and Commercial Bank of China (Europe) S.A., en abrégé ICBC (Europe) S.A.;LUB00348;Y;N;BE0830597835
BE0876825560;IIIIBEII;BE;CREDIT FONCIER DE FRANCE;A.;Louizalaan, 209;1050;Brussel;Credit institution S122;FR;Crédit Foncier de France;FR43199;Y;N;BE0876825560
BE0828223909;INGBBEBB;BE;ING BANK N.V.;;Marnixlaan, 24;1000;Brussel;Credit institution S122;NL;ING Bank N.V.;NL163;Y;N;BE0828223909
BE0806743159;IRVTBEBB;BE;THE BANK OF NEW YORK MELLON;;Montoyerstraat, 46;1000;Brussel;Credit institution S122;;;;Y;N;BE0806743159
BE0404055577;JVBABE22;BE;BANK J.VAN BREDA & C°;;Ledeganckkaai, 7;2000;Antwerpen;Credit institution S122;;;;Y;N;BE0404055577
BE0877219597;KKKKBEKK;BE;BANQUE DEGROOF PETERCAM LUXEMBOURG SA;;Guimardstraat, 19;1040;Bruxelles;Credit institution S122;LU;Banque Degroof Petercam Luxembourg S.A.;LUB00155;Y;N;BE0877219597
DE01763;SBBWDESTXXX;DE;Sparda-Bank Baden-Württemberg eG;Postfach 1;Am Hauptbahnhof 3;70173;Stuttgart;Credit institution S122;;;;Y;N;DE01763
DE01764;SPBKDE7AXXX;DE;Sparda-Bank Augsburg eG;Postfach 1;Prinzregentenstr. 23;86150;Augsburg;Credit institution S122;;;;Y;N;DE01764
DE01765;SPBKDEMMXXX;DE;Sparda-Bank München eingetragene Genossenschaft;Postfach 2;Arnulfstraße 15;80335;München;Credit institution S122;;;;Y;N;DE01765
PT275;BSABPTPLXXX;PT;BANCO DE SABADELL, SA - SUCURSAL EM PORTUGAL;;Avª da Liberdade, 225 - 5º D;;LISBOA;Credit institution S122;ES;Banco de Sabadell, S.A.;ES0081;Y;N;PT275
FI28583949;NDEAFIHH;FI;Nordea Bank Abp;;Satamaradankatu 5;20;Helsinki;Credit institution S122;;;;Y;N;FI28583949
LUB00404;HYVELULL;LU;UniCredit Bank AG Luxembourg Branch;;8-10, rue Jean Monnet;2099;Luxembourg;Credit institution S122;DE;UniCredit Bank AG;DE00008;Y;N;LUB00404
LT304870069;AGBLLT2XXXX;LT;Luminor Bank AS Lietuvos skyrius;;Konstitucijos pr. 21A;LT-08130;Vilniaus m. sav. Vilniaus m.;Credit institution S122;EE;Luminor Bank AS;EE11315936;Y;N;LT304870069
DE05900;KHMIDEM8XXX;DE;Middle East Bank, Munich Branch;;Landsberger Straße 406;81241;München;Credit institution S122;IR;Khavarmianeh (Middle East) Bank;IRECBM1073931;Y;N;DE05900
FR12933;;FR;Caixabank;;2 rue de Goethe;75116;PARIS;Credit institution S122;ES;Caixabank, S.A.;ES2100;Y;N;FR12933
